Timestamp,Full Name,  Age Group  ,State of Residence,Have you ever visited Uttar Pradesh?,What is your dietary preference? ,Which of the following Uttar Pradesh's dishes do you know about or have you tried? (Vegetarian),Which of the following Uttar Pradesh's dishes do you know about or have you tried?  (Non-Vegetarian),Would you like to visit Uttar Pradesh in future? (rate:1-5),For what purpose would you like to visit Uttar Pradesh,What kind of stay would to prefer in Uttar Pradesh?,What kind of food would you like to try in Uttar Pradesh?,"Below are the top 10 famous cuisines of Uttar Pradesh, choose that which of the dishes would you try.",Cluster,Visited_UP
0,14,0,8,1,1,49,54,1.0596703760387638,11,8,2,48,2,
1,6,0,7,0,4,67,54,-1.3595770862384142,11,8,2,48,1,
2,8,0,8,0,2,67,54,0.2532545552797044,1,0,6,21,0,
3,111,0,8,0,2,68,14,0.2532545552797044,0,0,6,27,0,
4,27,0,7,0,4,37,14,0.2532545552797044,10,1,20,39,0,
5,10,0,15,1,2,47,38,1.0596703760387638,7,0,5,38,2,
6,21,0,4,0,2,83,28,-2.1659929069974733,7,0,5,38,1,
7,0,0,8,1,2,5,3,0.2532545552797044,18,8,5,67,0,
8,117,0,7,1,2,73,46,0.2532545552797044,14,19,16,31,0,
9,47,0,8,0,4,73,46,-0.5531612654793548,7,0,16,0,0,
10,5,0,8,0,1,86,21,-0.5531612654793548,19,19,12,62,0,
11,7,0,7,1,2,29,11,1.0596703760387638,11,10,1,49,2,
12,17,0,8,0,2,78,34,-0.5531612654793548,13,6,5,24,0,
13,94,0,9,1,0,26,7,1.0596703760387638,11,20,3,19,2,
14,59,0,8,0,4,45,7,-0.5531612654793548,5,33,8,37,0,
15,80,0,8,1,4,8,7,-0.5531612654793548,7,15,20,1,0,
16,30,0,7,1,4,85,39,1.0596703760387638,10,0,19,15,2,
17,11,0,8,1,2,28,51,-1.3595770862384142,10,0,19,15,1,
18,65,0,8,1,0,30,42,1.0596703760387638,15,1,3,63,2,
19,72,0,8,1,2,35,59,1.0596703760387638,7,11,18,45,2,
20,77,0,8,1,4,46,59,-0.5531612654793548,15,0,19,1,0,
21,83,0,16,1,2,30,44,1.0596703760387638,15,7,2,59,2,
22,16,0,7,0,4,85,44,-0.5531612654793548,2,6,19,40,0,
23,24,0,8,0,0,35,44,1.0596703760387638,11,0,19,30,2,
24,15,0,24,1,4,53,31,1.0596703760387638,14,32,3,3,2,
25,97,0,7,0,4,24,0,1.0596703760387638,15,5,8,18,2,
26,13,0,7,0,2,62,25,-0.5531612654793548,2,0,11,36,0,
27,31,0,8,0,4,81,25,0.2532545552797044,10,0,9,43,0,
28,36,0,8,1,2,54,1,1.0596703760387638,8,16,5,54,2,
29,70,0,14,0,4,37,1,1.0596703760387638,11,19,19,17,2,
30,63,0,7,0,2,70,12,-2.1659929069974733,11,19,19,17,1,
31,18,0,8,1,2,19,19,0.2532545552797044,15,0,3,59,0,
32,102,0,8,1,2,72,10,0.2532545552797044,14,20,3,53,0,
43,29,0,8,0,2,39,10,-1.3595770862384142,14,20,3,53,1,
44,12,0,13,0,2,69,15,-0.5531612654793548,19,18,12,29,0,
45,93,0,12,1,4,88,15,0.2532545552797044,11,6,19,9,0,
46,95,0,8,0,2,64,28,-2.1659929069974733,11,6,19,9,1,
33,106,0,3,0,2,67,28,-1.3595770862384142,11,6,19,9,1,
34,116,0,19,1,4,52,28,1.0596703760387638,15,19,3,17,2,
